,Title,Rate,Processeur,Windows Version,Carte Graphique,RAM,Disque Dur,Ecran,Poids,Price
22,Nouveau Inspiron 15 3000,3.9,Processeur Intel® Core™ i5-1135G7 de 11e génération,Windows 11 Famille,Intel® UHD Graphics with shared graphics memory,8 Go,"Disque SSD M.2 PCIe NVMe de 256 Go (démarrage) + disque dur SATA 2,5"" de 1 To à 5 400 tr/min (stockage)",Processeur Intel® Core™ i5-1135G7 de 11e génération,Windows 11 Famille,"699,04 "
23,Nouveau Inspiron 15 3000,3.9,Processeur Intel® Core™ i3-1115G4 de 11e génération,Windows 10 Famille 64 bits,Carte graphique Intel® UHD avec mémoire graphique partagée,8 Go,Disque SSD M.2 PCIe NVMe de 256 Go,Processeur Intel® Core™ i3-1115G4 de 11e génération,Windows 10 Famille 64 bits,"549,04 "
24,Nouveau Inspiron 15 3000,4.0,Processeur mobile AMD Ryzen™ 7 3700U avec carte graphique Radeon™ Vega 10,Windows 11 Famille,Carte graphique AMD Radeon™ RX Vega 10,"8 Go, 1 x 8 Go, de mémoire DDR4, 2 400 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur mobile AMD Ryzen™ 7 3700U avec carte graphique Radeon™ Vega 10,Windows 11 Famille,"699,04 "
25,Nouveau Inspiron 15 3000,3.9,Processeur Intel® Core™ i5-1135G7 de 11e génération,Windows 11 Famille,Intel® UHD Graphics with shared graphics memory,8 Go,Disque SSD M.2 PCIe NVMe de 512 Go,Processeur Intel® Core™ i5-1135G7 de 11e génération,Windows 11 Famille,"689,04 "
26,Nouveau Inspiron 15 3000,4.0,Processeur mobile AMD Ryzen™ 5 3450U avec carte graphique Radeon™ Vega 8,Windows 10 Famille 64 bits,Carte graphique AMD Radeon™ Vega 8,"8 Go, 1 x 8 Go, de mémoire DDR4, 2 400 MHz",Disque SSD M.2 PCIe NVMe de 256 Go,Processeur mobile AMD Ryzen™ 5 3450U avec carte graphique Radeon™ Vega 8,Windows 10 Famille 64 bits,"519,04 "
27,XPS 15,4.2,Processeur Intel® Core™ i5-9300H de 9e génération,Windows 10 Professionnel 64 bits,Carte graphique Intel UHD 630 avec mémoire graphique partagée,"8 Go de mémoire, 2 x 4 Go, DDR4 à 2 666 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur Intel® Core™ i5-9300H de 9e génération,Windows 10 Professionnel 64 bits,"1 049,04 "
28,Nouveau Inspiron 14 2-in-1,4.7,Processeur mobile AMD Ryzen™ 5 5500U avec carte graphique Radeon™,Windows 10 Famille 64 bits,Carte graphique AMD Radeon™ avec mémoire graphique partagée,"8 GB, 2 x 4 GB, DDR4, 3200 MHz, dual-channel",Disque SSD M.2 PCIe NVMe de 256 Go,Processeur mobile AMD Ryzen™ 5 5500U avec carte graphique Radeon™,Windows 10 Famille 64 bits,"698,80 "
29,Nouveau Inspiron 14 2-en-1,4.7,Processeur mobile AMD Ryzen™ 5 5500U avec carte graphique Radeon™,Windows 11 Famille,Carte graphique AMD Radeon™ avec mémoire graphique partagée,"8 GB, 2 x 4 GB, DDR4, 3200 MHz, dual-channel",Disque SSD PCIe NVMe de 512 Go,Processeur mobile AMD Ryzen™ 5 5500U avec carte graphique Radeon™,Windows 11 Famille,"768,80 "
30,Nouveau XPS 13,4.0,Processeur Intel® Core™ i5-1135G7 de 11e génération,Windows 11 Famille,Carte graphique Intel® Iris Xe,8 Go de mémoire intégrée LPDDR4x à 4 267 MHz,Disque SSD M.2 PCIe NVMe de 256 Go,Processeur Intel® Core™ i5-1135G7 de 11e génération,Windows 11 Famille,
31,Nouveau XPS 13,4.0,Processeur Intel® Core™ i5-1135G7 de 11e génération,Windows 10 Famille 64 bits,Carte graphique Intel® Iris Xe,8 Go de mémoire intégrée LPDDR4x à 4 267 MHz,Disque SSD M.2 PCIe NVMe de 512 Go,Processeur Intel® Core™ i5-1135G7 de 11e génération,Windows 10 Famille 64 bits,"1 349,05 "
